VentaID,FechaVenta,HoraVenta,SucursalNombre,CiudadSucursal,VendedorNombre,ClienteNombre,GeneroCliente,EdadCliente,EmailCliente,TelefonoCliente,DireccionCliente,MetodoPago,NombreProducto1,MarcaProducto1,CantidadProducto1,PrecioUnitarioProducto1,SubtotalProducto1,NombreProducto2,MarcaProducto2,CantidadProducto2,PrecioUnitarioProducto2,SubtotalProducto2,NombreProducto3,MarcaProducto3,CantidadProducto3,PrecioUnitarioProducto3,SubtotalProducto3,DescuentoVenta,TotalVenta,AñoVenta,MesVenta
6230,09/02/2021,11:57 a. m.,TechCore Medellín #2,Medellín,Luisina Lasa,Gervasio Bárcena Pedrosa,M,50,gervasio25@yahoo.com,+34928 062 554,cll 4 #65-68,Billetera Digital,Dell XPS 13,Dell,1,4800000,4800000,,,,,,,,,,,0,48000000,2021,2
6231,06/02/2020,08:40 a. m.,TechCore Pereira,Pereira,Amílcar Ortega-Alberto,Jose Luis Contreras Uría,M,26,jose77@gmail.com,+34946 244 297,cll 44 #82-16,Transferencia,Asus VivoBook 15,Asus,2,2400000,4800000,Dell Inspiron 15,Dell,10.0,30000000.0,30000000.0,,,,,,5,74100000,2020,2
6232,15/07/2016,08:53 a. m.,TechCore Medellín #1,Medellín,Ibán López Córdoba,Eliseo Zapata-Verdú,M,51,eliseo92@hotmail.com,+34743133776,cra 15 #53-29,Tarjeta Crédito,Lenovo IdeaPad 5,Lenovo,1,2800000,2800000,Dell XPS 13,Dell,20.0,48000000.0,96000000.0,Acer Predator Helios 300,Acer,10.0,56000000.0,56000000.0,15,153000000,2016,7
6233,04/05/2021,09:59 p. m.,TechCore Cali,Cali,Florencio Iker Vara Nebot,Jose Luis del Elías,M,30,jose9@yahoo.com,+34872243781,cra 16 #54-64,Tarjeta Crédito,HP Spectre x360,HP,1,5200000,5200000,Apple iMac 24,Apple,20.0,64000000.0,128000000.0,,,,,,0,180000000,2021,5
6234,10/07/2023,06:21 a. m.,TechCore Bogotá #2,Bogotá,Olivia Armas Ayuso,Tomás Cervera,M,27,tomás51@gmail.com,+34946884779,cra 78 #90-80,Transferencia,Apple MacBook Pro 16,Apple,2,9600000,19200000,HP Spectre x360,HP,10.0,52000000.0,52000000.0,,,,,,1,219600000,2023,7
6235,26/12/2017,10:09 a. m.,TechCore Pereira,Pereira,Amílcar Ortega-Alberto,Kike Palau Zamora,M,24,No especificado,+34826957508,cll 23 #25-56,Billetera Digital,HP Spectre x360,HP,2,5200000,10400000,Lenovo ThinkPad X1 Carbon,Lenovo,10.0,68000000.0,68000000.0,,,,,,5,163400000,2017,12
6236,08/11/2023,01:02 a. m.,TechCore Bogotá #2,Bogotá,Olivia Armas Ayuso,Clementina Bastida Crespo,F,45,No especificado,+34884649917,cll 68 #56-85,Tarjeta Crédito,Apple MacBook Air M1,Apple,2,5500000,11000000,Samsung Galaxy Book Flex,Samsung,10.0,56000000.0,56000000.0,Asus VivoBook 15,Asus,20.0,24000000.0,48000000.0,1,192600000,2023,11
6237,10/12/2015,07:15 a. m.,TechCore Pereira,Pereira,Amílcar Ortega-Alberto,Alberto Roman Casal,M,30,alberto15@gmail.com,+34 928 67 55 04,cll 16 #73-20,Transferencia,Dell Latitude 7420,Dell,1,5600000,5600000,,,,,,,,,,,0,56000000,2015,12
6238,08/08/2024,12:03 p. m.,TechCore Medellín #1,Medellín,Liliana Jordá Armengol,Patricia Sarmiento Olivares,F,48,patricia63@hotmail.com,+34872748048,cll 25 #85-61,Billetera Digital,HP Pavilion 15,HP,2,3500000,7000000,Lenovo IdeaPad 5,Lenovo,20.0,28000000.0,56000000.0,,,,,,0,126000000,2024,8
6239,21/10/2024,01:02 a. m.,TechCore Pereira,Pereira,Anacleto Morera Segovia,Javi de Sacristán,M,24,No especificado,+34 875081569,cra 6 #93-88,No especificado,HP Pavilion 15,HP,2,3500000,7000000,,,,,,,,,,,15,59500000,2024,10
6240,01/09/2021,01:02 a. m.,TechCore Pereira,Pereira,Carina Parejo Carranza,Ruperta Llorens Jordá,F,47,ruperta14@yahoo.com,+34931 016 486,cra 95 #71-22,Tarjeta Crédito,HP Pavilion 15,HP,2,3500000,7000000,,,,,,,,,,,0,70000000,2021,9
6241,10/07/2024,11:59 a. m.,TechCore Medellín #2,Medellín,Luisina Lasa,Narciso Lobato Colom,M,47,narciso78@hotmail.com,+34919366000,cra 26 #98-21,Efectivo,Asus VivoBook 15,Asus,2,2400000,4800000,Dell Inspiron 15,Dell,20.0,30000000.0,60000000.0,Dell Alienware m15,Dell,20.0,80000000.0,160000000.0,15,227800000,2024,7
6242,09/09/2017,03:16 a. m.,TechCore Pereira,Pereira,Amílcar Ortega-Alberto,Prudencia Reina Escobar,F,47,prudencia48@gmail.com,+34925997101,cra 11 #39-63,Tarjeta Crédito,HP Envy 13,HP,1,4000000,4000000,,,,,,,,,,,1,36000000,2017,9
6243,15/07/2019,06:58 a. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,Apolinar Feliu Cárdenas,M,19,apolinar16@hotmail.com,+34748 84 64 13,cra 55 #13-49,No especificado,Apple iMac 24,Apple,1,6400000,6400000,,,,,,,,,,,0,64000000,2019,7
6244,06/02/2022,03:17 p. m.,TechCore Pereira,Pereira,Amílcar Ortega-Alberto,Dorotea Calleja Morillo,F,23,dorotea15@hotmail.com,+34852 346 627,cll 80 #6-15,Tarjeta Débito,HP Pavilion 15,HP,2,3500000,7000000,Dell Alienware m15,Dell,20.0,80000000.0,160000000.0,Acer Swift 3,Acer,10.0,26000000.0,26000000.0,0,256000000,2022,2
6245,09/02/2016,08:55 p. m.,TechCore Pereira,Pereira,María Ramírez Pou,Juanita Jara Gomis,F,22,juanita88@gmail.com,+34 982 62 87 63,cra 33 #34-9,Tarjeta Crédito,Lenovo Legion 5 Pro,Lenovo,1,7200000,7200000,HP Omen 16,HP,20.0,60000000.0,120000000.0,Dell Alienware m15,Dell,10.0,80000000.0,80000000.0,0,272000000,2016,2
6246,04/11/2022,02:46 p. m.,TechCore Cali,Cali,Basilio Marcos Barrena,Edu Amorós Ribera,M,29,edu25@hotmail.com,+34 974 719 379,cll 53 #39-53,Tarjeta Débito,HP Pavilion 15,HP,1,3500000,3500000,Dell XPS 13,Dell,20.0,48000000.0,96000000.0,HP Envy 13,HP,20.0,40000000.0,80000000.0,0,211000000,2022,11
6247,12/07/2021,02:25 p. m.,TechCore Medellín #2,Medellín,Claudia Sastre-Quintero,Jordana Pazos Rocha,F,38,jordana31@gmail.com,+34 947 888 118,cra 91 #36-11,Tarjeta Débito,Acer Aspire 5,Acer,2,2000000,4000000,,,,,,,,,,,0,40000000,2021,7
6248,07/07/2018,11:40 p. m.,TechCore Medellín #1,Medellín,Liliana Jordá Armengol,Narcisa Salcedo Goñi,F,29,narcisa88@gmail.com,+34 946477566,cll 96 #90-95,Transferencia,HP Envy 13,HP,1,4000000,4000000,Acer Aspire 5,Acer,20.0,20000000.0,40000000.0,,,,,,0,80000000,2018,7
6249,10/05/2023,12:12 a. m.,TechCore Cali,Cali,Basilio Marcos Barrena,Paola del Caballero,F,34,paola90@gmail.com,+34 844828837,cra 61 #94-12,Tarjeta Crédito,HP Omen 16,HP,2,6000000,12000000,Dell Inspiron 15,Dell,10.0,30000000.0,30000000.0,,,,,,0,150000000,2023,5
6250,24/02/2023,05:12 p. m.,TechCore Bogotá #1,Bogotá,Aura del Bermúdez,Máximo Berrocal Seco,M,51,máximo29@yahoo.com,+34 886 10 59 50,cll 98 #46-25,Transferencia,Dell Alienware m15,Dell,2,8000000,16000000,,,,,,,,,,,0,160000000,2023,2
6251,15/08/2015,08:50 a. m.,TechCore Pereira,Pereira,María Ramírez Pou,Eutimio Carmona Uría,M,38,eutimio94@yahoo.com,+34975 31 61 43,cll 27 #45-77,Billetera Digital,Dell Inspiron 15,Dell,1,3000000,3000000,HP Spectre x360,HP,10.0,52000000.0,52000000.0,,,,,,0,82000000,2015,8
6252,26/01/2016,03:36 a. m.,TechCore Pereira,Pereira,Jose Angel Rovira Adadia,Andrea Téllez Franco,F,23,andrea28@hotmail.com,+34 873 059 901,cll 70 #6-94,Tarjeta Crédito,Acer Predator Helios 300,Acer,1,5600000,5600000,,,,,,,,,,,5,53200000,2016,1
6253,01/05/2016,04:23 p. m.,TechCore Medellín #2,Medellín,Almudena Adelaida Lledó Garrido,Olivia Solé Iriarte,F,36,olivia31@hotmail.com,+34981789128,cra 83 #29-29,No especificado,Samsung Galaxy Book Pro,Samsung,1,4800000,4800000,,,,,,,,,,,0,48000000,2016,5
6254,21/09/2014,12:18 p. m.,TechCore Medellín #2,Medellín,Claudia Sastre-Quintero,Paulino Cabrero Galvez,M,47,paulino18@yahoo.com,+34873 01 56 20,cra 32 #39-94,Tarjeta Débito,HP Spectre x360,HP,1,5200000,5200000,HP Omen 16,HP,10.0,60000000.0,60000000.0,,,,,,0,112000000,2014,9
6255,25/01/2018,12:37 p. m.,TechCore Bogotá #1,Bogotá,Poncio Gabriel Poza Acedo,Raúl Vidal Diaz,M,35,raúl3@hotmail.com,+34 974 423 551,cra 17 #85-51,Tarjeta Crédito,Samsung Galaxy Chromebook 2,Samsung,2,2000000,4000000,HP Pavilion 15,HP,20.0,35000000.0,70000000.0,,,,,,5,104500000,2018,1
6256,09/09/2014,10:09 a. m.,TechCore Bogotá #1,Bogotá,Aura del Bermúdez,Nereida Córdoba Maestre,F,38,nereida6@yahoo.com,+34933057285,cll 43 #40-24,Tarjeta Débito,Apple MacBook Air M1,Apple,2,5500000,11000000,Acer Predator Helios 300,Acer,10.0,56000000.0,56000000.0,,,,,,0,166000000,2014,9
6257,12/05/2015,03:47 a. m.,TechCore Bogotá #2,Bogotá,Armida Azorin Plaza,Alex Almansa Cárdenas,M,20,alex14@hotmail.com,+34871016222,cll 63 #25-73,Efectivo,Samsung Galaxy Book Flex,Samsung,2,5600000,11200000,,,,,,,,,,,0,112000000,2015,5
6258,04/10/2019,12:59 p. m.,TechCore Pereira,Pereira,María Ramírez Pou,Marc Mateo Benavente Agustí,M,37,marc46@hotmail.com,+34678 147 309,cll 94 #56-51,No especificado,Apple MacBook Air M1,Apple,1,5500000,5500000,Acer Swift 3,Acer,20.0,26000000.0,52000000.0,,,,,,0,107000000,2019,10
6259,26/03/2016,02:41 a. m.,TechCore Pereira,Pereira,Anacleto Morera Segovia,Carmelita Alvarado Boix,F,50,carmelita69@gmail.com,+34825 08 91 38,cra 9 #68-70,No especificado,Lenovo IdeaPad 5,Lenovo,1,2800000,2800000,,,,,,,,,,,0,28000000,2016,3
6260,25/08/2020,07:55 p. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,Elpidio Cal Polo,M,38,elpidio70@yahoo.com,+34719 942 595,cll 58 #41-85,Tarjeta Crédito,Dell XPS 13,Dell,2,4800000,9600000,,,,,,,,,,,0,96000000,2020,8
6261,15/02/2021,04:24 a. m.,TechCore Medellín #2,Medellín,Luisina Lasa,Lorenzo Varela,M,49,lorenzo99@gmail.com,+34 927 53 09 49,cra 28 #9-15,Tarjeta Crédito,Dell Inspiron 15,Dell,1,3000000,3000000,,,,,,,,,,,0,30000000,2021,2
6262,24/07/2024,06:01 p. m.,TechCore Bogotá #2,Bogotá,Eloísa Plaza Hurtado,Cebrián Lamas Estevez,M,38,cebrián82@yahoo.com,+34 925 75 35 82,cll 34 #97-90,Tarjeta Débito,Lenovo ThinkPad X1 Carbon,Lenovo,2,6800000,13600000,Samsung Galaxy Chromebook 2,Samsung,10.0,20000000.0,20000000.0,,,,,,0,156000000,2024,7
6263,18/06/2020,08:58 p. m.,TechCore Medellín #1,Medellín,Dominga del Alcántara,Hilda Villegas-Vall,F,24,hilda32@yahoo.com,+34 843 92 92 60,cra 79 #87-95,Tarjeta Crédito,Apple MacBook Air M1,Apple,2,5500000,11000000,,,,,,,,,,,0,110000000,2020,6
6264,17/04/2023,08:30 a. m.,TechCore Medellín #2,Medellín,Juanito Diaz,Amada Prado Sandoval,F,43,amada19@hotmail.com,+34921497990,cll 12 #85-28,Tarjeta Crédito,Dell Latitude 7420,Dell,1,5600000,5600000,Razer Book 13,Razer,20.0,64000000.0,128000000.0,,,,,,0,184000000,2023,4
6265,12/07/2020,12:52 p. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,Silvio Moya Hernández,M,24,silvio61@gmail.com,+34832 798 021,cra 20 #84-42,Tarjeta Crédito,Apple iMac 24,Apple,2,6400000,12800000,Dell Inspiron 15,Dell,20.0,30000000.0,60000000.0,Asus ROG Strix G15,Asus,10.0,64000000.0,64000000.0,0,252000000,2020,7
6266,06/09/2018,05:41 a. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,Filomena Canet Ángel,F,37,filomena33@gmail.com,+34986207058,cra 16 #70-66,Tarjeta Débito,Dell Alienware m15,Dell,1,8000000,8000000,HP Omen 16,HP,10.0,60000000.0,60000000.0,Acer Predator Helios 300,Acer,10.0,56000000.0,56000000.0,0,196000000,2018,9
6267,18/08/2022,12:16 a. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,Elvira Borja Expósito,F,24,elvira17@yahoo.com,+34878317030,cra 97 #46-26,Billetera Digital,Apple MacBook Air M1,Apple,1,5500000,5500000,,,,,,,,,,,0,55000000,2022,8
6268,22/12/2020,05:27 a. m.,TechCore Medellín #1,Medellín,Dominga del Alcántara,Guiomar Franco Villalba,M,24,guiomar73@gmail.com,+34 803425586,cra 13 #19-57,Tarjeta Crédito,Lenovo IdeaPad 5,Lenovo,2,2800000,5600000,Lenovo Yoga 7i,Lenovo,10.0,44000000.0,44000000.0,Acer Nitro 5,Acer,20.0,40000000.0,80000000.0,0,180000000,2020,12
6269,11/08/2024,05:25 p. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Rodolfo Vicente Checa,M,21,rodolfo31@hotmail.com,+34974970600,cra 28 #92-43,Transferencia,Lenovo Yoga 7i,Lenovo,2,4400000,8800000,Acer Aspire 5,Acer,10.0,20000000.0,20000000.0,Dell Inspiron 15,Dell,20.0,30000000.0,60000000.0,0,168000000,2024,8
6270,25/03/2018,12:16 a. m.,TechCore Medellín #2,Medellín,Almudena Adelaida Lledó Garrido,José Antonio Barrio Anglada,M,51,josé25@yahoo.com,+34 986 242 927,cll 77 #52-1,Tarjeta Crédito,Dell Latitude 7420,Dell,1,5600000,5600000,Lenovo Yoga 7i,Lenovo,10.0,44000000.0,44000000.0,,,,,,0,100000000,2018,3
6271,02/03/2016,01:49 p. m.,TechCore Cali,Cali,Rosendo Barberá Cordero,Graciela Fidela Vizcaíno Casado,F,18,graciela17@gmail.com,+34 877207961,cll 86 #74-53,Tarjeta Crédito,Apple MacBook Pro 14,Apple,1,8000000,8000000,Asus VivoBook 15,Asus,20.0,24000000.0,48000000.0,,,,,,0,128000000,2016,3
6272,02/04/2015,04:42 p. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Magdalena Peiró,F,39,magdalena52@hotmail.com,+34957 886 124,cll 8 #40-63,Tarjeta Crédito,Lenovo Legion 5 Pro,Lenovo,1,7200000,7200000,HP Spectre x360,HP,10.0,52000000.0,52000000.0,Asus VivoBook 15,Asus,10.0,24000000.0,24000000.0,0,148000000,2015,4
6273,19/11/2020,04:58 a. m.,TechCore Medellín #2,No especificado,Almudena Adelaida Lledó Garrido,Flavio Renato Casals Mendez,M,42,flavio52@yahoo.com,+34 807 417 812,cra 82 #66-88,Transferencia,Lenovo ThinkPad X1 Carbon,Lenovo,2,6800000,13600000,,,,,,,,,,,15,115600000,2020,11
6274,30/03/2016,02:55 a. m.,TechCore Medellín #1,Medellín,Eusebia Jara Macias,Nélida Villa Calleja,F,51,No especificado,+34884223788,cll 9 #45-41,Tarjeta Crédito,Lenovo ThinkPad X1 Carbon,Lenovo,1,6800000,6800000,,,,,,,,,,,5,64600000,2016,3
6275,17/03/2024,08:34 p. m.,TechCore Cali,Cali,Florencio Iker Vara Nebot,Rosario Leal Noguera,M,35,rosario64@hotmail.com,+34 846 83 64 14,cra 54 #28-37,Tarjeta Crédito,Lenovo ThinkPad X1 Carbon,Lenovo,2,6800000,13600000,Dell XPS 13,Dell,20.0,48000000.0,96000000.0,Lenovo Legion 5 Pro,Lenovo,10.0,72000000.0,72000000.0,0,304000000,2024,3
6276,19/03/2017,01:27 p. m.,TechCore Medellín #1,Medellín,Ibán López Córdoba,Teresa Rubio,F,44,teresa73@yahoo.com,+34 803830915,cll 52 #91-7,Tarjeta Crédito,HP Omen 16,HP,2,6000000,12000000,Lenovo Legion 5 Pro,Lenovo,20.0,72000000.0,144000000.0,,,,,,5,250800000,2017,3
6277,19/12/2023,05:17 a. m.,TechCore Bogotá #2,Bogotá,Edu Juan Pedraza,Edgardo Heredia Vélez,M,33,edgardo28@yahoo.com,+34986 65 29 83,cll 83 #53-3,Tarjeta Crédito,Lenovo ThinkPad X1 Carbon,Lenovo,1,6800000,6800000,Acer Aspire 5,Acer,10.0,20000000.0,20000000.0,Asus ROG Strix G15,Asus,10.0,64000000.0,64000000.0,0,152000000,2023,12
6278,18/02/2022,07:33 a. m.,TechCore Medellín #1,Medellín,Ibán López Córdoba,Manu Fortuny Puga,M,21,manu85@gmail.com,+34924 792 105,cll 36 #2-41,Efectivo,Microsoft Surface Pro 9,Microsoft,2,4400000,8800000,Apple MacBook Air M1,Apple,10.0,55000000.0,55000000.0,Apple MacBook Pro 16,Apple,20.0,96000000.0,192000000.0,15,284750000,2022,2
6279,23/07/2018,02:52 a. m.,TechCore Medellín #2,Medellín,Claudia Sastre-Quintero,Jordán Ferrán Goicoechea,M,38,jordán18@gmail.com,+34921 544 123,cll 12 #96-98,Tarjeta Débito,Lenovo ThinkPad X1 Carbon,Lenovo,2,6800000,13600000,Lenovo Yoga 7i,Lenovo,20.0,44000000.0,88000000.0,Asus ROG Strix G15,Asus,20.0,64000000.0,128000000.0,0,352000000,2018,7
6280,03/04/2015,10:17 a. m.,TechCore Medellín #2,Medellín,Juanito Diaz,Miguel Martorell Arjona,M,29,No especificado,+34849 500 046,cll 99 #49-56,Tarjeta Débito,Acer Aspire 5,Acer,2,2000000,4000000,Dell Latitude 7420,Dell,10.0,56000000.0,56000000.0,Lenovo IdeaPad 5,Lenovo,10.0,28000000.0,28000000.0,0,124000000,2015,4
6281,18/06/2019,12:38 p. m.,TechCore Medellín #1,Medellín,Ibán López Córdoba,Benigno del Mayo,M,19,benigno33@hotmail.com,+34980184605,cll 21 #22-91,No especificado,Lenovo ThinkPad X1 Carbon,Lenovo,2,6800000,13600000,HP Omen 16,HP,20.0,60000000.0,120000000.0,Lenovo Yoga 7i,Lenovo,10.0,44000000.0,44000000.0,5,285000000,2019,6
6282,14/09/2014,04:52 a. m.,TechCore Medellín #1,Medellín,Eusebia Jara Macias,Mohamed Roselló,M,42,mohamed28@yahoo.com,+34922 54 96 17,cra 77 #75-13,Tarjeta Débito,HP Omen 16,HP,1,6000000,6000000,Dell Inspiron 15,Dell,20.0,30000000.0,60000000.0,,,,,,0,120000000,2014,9
6283,07/11/2017,12:29 p. m.,TechCore Pereira,Pereira,María Ramírez Pou,Sandalio Sastre Vargas,M,48,sandalio37@hotmail.com,+34 849 251 672,cll 28 #19-78,Tarjeta Crédito,HP Pavilion 15,HP,2,3500000,7000000,,,,,,,,,,,5,66500000,2017,11
6284,28/07/2015,07:59 a. m.,TechCore Medellín #2,Medellín,Juanito Diaz,Laura del Arellano,F,49,laura47@yahoo.com,+34985291373,cra 69 #25-70,Tarjeta Crédito,Asus ZenBook 14,Asus,1,3800000,3800000,HP Spectre x360,HP,10.0,52000000.0,52000000.0,,,,,,5,85500000,2015,7
6285,22/03/2024,01:32 a. m.,TechCore Bogotá #1,Bogotá,María Belén Alegria Camps,Gastón Godoy Martinez,M,41,gastón45@gmail.com,+34 884 53 29 16,cra 90 #11-86,Tarjeta Crédito,HP Pavilion 15,HP,2,3500000,7000000,Apple MacBook Air M1,Apple,10.0,55000000.0,55000000.0,Dell XPS 13,Dell,10.0,48000000.0,48000000.0,0,173000000,2024,3
6286,24/08/2021,04:50 p. m.,TechCore Cali,Cali,Rosendo Barberá Cordero,José Ángel Rodolfo Sanjuan Giner,M,22,No especificado,+34800 47 76 60,cra 26 #76-68,Efectivo,Samsung Galaxy Book Odyssey,Samsung,2,6800000,13600000,HP Pavilion 15,HP,20.0,35000000.0,70000000.0,Dell XPS 13,Dell,20.0,48000000.0,96000000.0,0,302000000,2021,8
6287,13/11/2024,07:11 p. m.,TechCore Bogotá #2,Bogotá,Herminia Meléndez-Huguet,Abril Baquero-Velasco,F,43,abril45@yahoo.com,+34874 65 25 77,cra 31 #47-86,Tarjeta Débito,HP Spectre x360,HP,1,5200000,5200000,,,,,,,,,,,1,46800000,2024,11
6288,29/09/2019,12:17 a. m.,TechCore Bogotá #1,Bogotá,Poncio Gabriel Poza Acedo,Teodoro Benet Jódar,M,36,teodoro85@yahoo.com,+34 986076824,cll 41 #67-33,Tarjeta Crédito,HP Spectre x360,HP,2,5200000,10400000,,,,,,,,,,,0,104000000,2019,9
6289,22/09/2020,01:50 p. m.,TechCore Bogotá #1,Bogotá,Aura del Bermúdez,Angelita Gelabert Bautista,F,27,angelita85@hotmail.com,+34 946704236,cra 27 #35-38,Tarjeta Débito,Dell Inspiron 15,Dell,1,3000000,3000000,,,,,,,,,,,0,30000000,2020,9
6290,02/03/2024,11:53 a. m.,TechCore Medellín #2,Medellín,Juan José Porcel-Riera,Yaiza Piquer Cañas,F,27,yaiza45@hotmail.com,+34800 05 20 39,cra 85 #63-16,Tarjeta Crédito,Lenovo ThinkPad X1 Carbon,Lenovo,2,6800000,13600000,,,,,,,,,,,0,136000000,2024,3
6291,09/03/2016,10:00 a. m.,TechCore Bogotá #1,Bogotá,Poncio Gabriel Poza Acedo,Cleto de Diaz,M,41,cleto55@gmail.com,+34943710069,cra 98 #72-45,Tarjeta Crédito,Dell Inspiron 15,Dell,2,3000000,6000000,Apple MacBook Air M1,Apple,10.0,55000000.0,55000000.0,Lenovo Yoga 7i,Lenovo,10.0,44000000.0,44000000.0,0,159000000,2016,3
6292,05/07/2018,05:11 p. m.,TechCore Cali,Cali,Basilio Marcos Barrena,Benjamín Cabello Cifuentes,M,31,benjamín61@gmail.com,+34977470938,cra 92 #85-40,Billetera Digital,Apple MacBook Pro 14,Apple,2,8000000,16000000,,,,,,,,,,,0,160000000,2018,7
6293,14/02/2019,12:51 a. m.,TechCore Bogotá #2,Bogotá,Olivia Armas Ayuso,Florentino Eduardo Roda Valbuena,M,50,florentino22@yahoo.com,+34 971545145,cll 70 #24-55,Billetera Digital,Dell XPS 13,Dell,2,4800000,9600000,,,,,,,,,,,0,96000000,2019,2
6294,24/06/2019,05:34 a. m.,TechCore Medellín #2,Medellín,Almudena Adelaida Lledó Garrido,Ascensión Pineda Carro,F,36,ascensión78@hotmail.com,+34926805347,cra 80 #39-10,Billetera Digital,Dell Latitude 7420,Dell,1,5600000,5600000,Lenovo ThinkPad X1 Carbon,Lenovo,20.0,68000000.0,136000000.0,HP Pavilion 15,HP,10.0,35000000.0,35000000.0,0,227000000,2019,6
6295,28/04/2016,12:10 p. m.,TechCore Bogotá #2,Bogotá,Eloísa Plaza Hurtado,Tito Rocamora Guerrero,M,28,tito38@gmail.com,+34 943 028 680,cll 95 #64-38,Transferencia,HP Spectre x360,HP,1,5200000,5200000,Apple MacBook Air M1,Apple,20.0,55000000.0,110000000.0,HP Omen 16,HP,10.0,60000000.0,60000000.0,0,222000000,2016,4
6296,04/10/2018,02:19 p. m.,TechCore Medellín #1,Medellín,Eusebia Jara Macias,Moisés del Tolosa,M,32,moisés92@hotmail.com,+34842707261,cll 49 #73-34,Tarjeta Crédito,HP Omen 16,HP,1,6000000,6000000,Lenovo ThinkPad X1 Carbon,Lenovo,10.0,68000000.0,68000000.0,Dell XPS 13,Dell,20.0,48000000.0,96000000.0,0,224000000,2018,10
6297,25/11/2017,11:16 p. m.,TechCore Medellín #2,Medellín,Juanito Diaz,Américo Múgica Anaya,M,48,américo58@gmail.com,+34 956228589,cra 35 #39-47,Transferencia,Lenovo ThinkPad X1 Carbon,Lenovo,1,6800000,6800000,Apple MacBook Pro 14,Apple,20.0,80000000.0,160000000.0,Microsoft Surface Go 3,Microsoft,20.0,30000000.0,60000000.0,5,273600000,2017,11
6298,04/05/2025,05:55 p. m.,TechCore Medellín #1,Medellín,Eusebia Jara Macias,Rico del Cáceres,M,31,rico83@gmail.com,+34878 922 838,cll 44 #92-59,Tarjeta Débito,Lenovo IdeaPad 5,Lenovo,2,2800000,5600000,Asus ZenBook 14,Asus,10.0,38000000.0,38000000.0,Lenovo Yoga 7i,Lenovo,10.0,44000000.0,44000000.0,5,131100000,2025,5
6299,02/02/2023,09:47 a. m.,TechCore Medellín #1,Medellín,Ibán López Córdoba,Eugenia Mata Saez,F,45,eugenia88@gmail.com,+34 973 999 550,cra 97 #78-80,Transferencia,Dell Alienware m15,Dell,2,8000000,16000000,Apple MacBook Air M1,Apple,20.0,55000000.0,110000000.0,,,,,,0,270000000,2023,2
6300,03/04/2024,01:19 a. m.,TechCore Bogotá #1,Bogotá,Evaristo Guillen Peña,José Antonio del Isern,M,43,josé25@hotmail.com,+34977 762 923,cra 32 #76-73,Tarjeta Crédito,Apple MacBook Air M1,Apple,1,5500000,5500000,Asus ZenBook 14,Asus,20.0,38000000.0,76000000.0,,,,,,0,131000000,2024,4
6301,06/11/2014,07:15 a. m.,TechCore Medellín #2,Medellín,Almudena Adelaida Lledó Garrido,José María Recio Río,M,46,josé47@yahoo.com,+34 843073214,cra 45 #12-69,Tarjeta Crédito,Dell XPS 13,Dell,2,4800000,9600000,Dell Latitude 7420,Dell,10.0,56000000.0,56000000.0,,,,,,0,152000000,2014,11
6302,02/06/2020,06:08 p. m.,TechCore Medellín #1,Medellín,Liliana Jordá Armengol,Ruperto Ballester Dominguez,M,32,ruperto24@hotmail.com,+34 978 519 413,cll 80 #84-7,Tarjeta Débito,Lenovo IdeaPad 5,Lenovo,2,2800000,5600000,,,,,,,,,,,0,56000000,2020,6
6303,12/06/2016,12:53 p. m.,TechCore Cali,Cali,Basilio Marcos Barrena,Encarnación Gallardo Santiago,F,35,encarnación12@gmail.com,+34 922 77 91 85,cll 66 #12-99,Tarjeta Crédito,Lenovo Yoga 7i,Lenovo,1,4400000,4400000,Apple MacBook Pro 16,Apple,10.0,96000000.0,96000000.0,,,,,,0,140000000,2016,6
6304,05/03/2020,09:30 a. m.,TechCore Medellín #2,Medellín,Claudia Sastre-Quintero,Adriana Palomo Villalobos,F,31,adriana46@yahoo.com,+34 882256386,cra 35 #9-11,Tarjeta Débito,Lenovo Legion 5 Pro,Lenovo,2,7200000,14400000,Lenovo ThinkPad X1 Carbon,Lenovo,10.0,68000000.0,68000000.0,Dell XPS 13,Dell,10.0,48000000.0,48000000.0,0,260000000,2020,3
6305,08/03/2021,06:24 p. m.,TechCore Medellín #2,Medellín,Claudia Sastre-Quintero,Borja Salamanca Conesa,M,36,borja44@yahoo.com,+34 900 891 166,cll 83 #70-9,Tarjeta Crédito,HP Envy 13,HP,1,4000000,4000000,HP Omen 16,HP,20.0,60000000.0,120000000.0,HP Spectre x360,HP,20.0,52000000.0,104000000.0,0,264000000,2021,3
6306,18/05/2024,04:44 p. m.,TechCore Bogotá #2,Bogotá,Edu Juan Pedraza,Irma Rubio Haro,F,49,irma86@gmail.com,+34 846 779 864,cra 11 #78-58,Transferencia,HP Spectre x360,HP,2,5200000,10400000,,,,,,,,,,,0,104000000,2024,5
